order_book_id,date,low,prev_close,limit_up,open,num_trades,high,limit_down,volume,close,total_turnover
601318.XSHG,2010-01-04,20.3843,55.09,22.9479,21.0129,32735.0,21.0508,18.7749,58728024.0,20.407,1603219301.0
601318.XSHG,2010-01-05,19.998,53.89,22.4481,20.46,39086.0,20.9031,18.3659,72031524.0,20.6645,1951983400.0
601318.XSHG,2010-01-06,20.1836,54.57,22.7321,20.6001,31316.0,20.7895,18.5969,66409204.0,20.2252,1791272562.0
601318.XSHG,2010-01-07,19.6421,53.41,22.2474,20.2214,40399.0,20.3767,18.2031,73083638.0,19.8503,1927019007.0
601318.XSHG,2010-01-08,19.4262,52.42,21.8346,19.8503,35048.0,19.8503,17.8661,64604364.0,19.733,1672256054.0
601318.XSHG,2010-01-11,19.6724,52.11,21.7059,20.638,42884.0,20.7895,17.76,100280090.0,19.8314,2670503696.0
601318.XSHG,2010-01-12,19.3543,52.37,21.8157,19.6913,41138.0,20.07,17.8471,75649990.0,20.017,1967296214.0
601318.XSHG,2010-01-13,19.0362,52.86,22.0202,19.5777,69574.0,19.6913,18.0138,116956914.0,19.0551,2982410724.0
601318.XSHG,2010-01-14,18.8961,50.32,20.9599,19.2369,44025.0,19.502,17.1504,73852768.0,19.305,1864709187.0
601318.XSHG,2010-01-15,18.9718,50.98,21.2363,19.3126,31793.0,19.4452,17.3738,51638572.0,19.3429,1312113016.0
601318.XSHG,2010-01-18,18.9112,51.08,21.278,19.2255,49942.0,19.2255,17.4079,83512252.0,19.0589,2096539352.0
601318.XSHG,2010-01-19,19.0324,50.33,20.9637,19.0362,36539.0,19.4262,17.1542,68172688.0,19.1536,1728482241.0
601318.XSHG,2010-01-20,18.5098,50.58,21.0697,19.199,54087.0,19.2482,17.2375,79173166.0,18.5401,1967789991.0
601318.XSHG,2010-01-21,18.5212,48.96,20.3956,18.5931,36408.0,19.0854,16.6846,61587314.0,18.9074,1525533255.0
601318.XSHG,2010-01-22,18.3659,49.93,20.797,18.5553,45923.0,19.1801,17.0178,87596644.0,18.9226,2168366968.0
